Timestamp_Epoch,Fecha_Hora,TipoAtaque,Mensaje,Latencia_segundos
1780957441.4365,2026-06-08 18:24:01,NONE,ALERTA_DDOS,0.000000
1780957479.8769,2026-06-08 18:24:39,TCP_SYN,ALERTA_DDOS,0.836694
1780957480.8915,2026-06-08 18:24:40,TCP_SYN,ALERTA_DDOS,0.000000
1780957481.9064,2026-06-08 18:24:41,TCP_SYN,ALERTA_DDOS,0.000000
1780957482.8687,2026-06-08 18:24:42,TCP_SYN,ALERTA_DDOS,0.000000
1780957483.8829,2026-06-08 18:24:43,TCP_SYN,ALERTA_DDOS,0.000000
1780957484.8942,2026-06-08 18:24:44,TCP_SYN,ALERTA_DDOS,0.000000
1780957485.8565,2026-06-08 18:24:45,TCP_SYN,ALERTA_DDOS,0.000000
1780957486.8695,2026-06-08 18:24:46,TCP_SYN,ALERTA_DDOS,0.000000
1780957487.8823,2026-06-08 18:24:47,TCP_SYN,ALERTA_DDOS,0.000000
1780957488.8954,2026-06-08 18:24:48,TCP_SYN,ALERTA_DDOS,0.000000
1780957489.9082,2026-06-08 18:24:49,TCP_SYN,ALERTA_DDOS,0.000000
1780957490.8696,2026-06-08 18:24:50,TCP_SYN,ALERTA_DDOS,0.000000
1780957491.8814,2026-06-08 18:24:51,TCP_SYN,ALERTA_DDOS,0.000000
1780957492.8925,2026-06-08 18:24:52,TCP_SYN,ALERTA_DDOS,0.000000
1780957493.9055,2026-06-08 18:24:53,TCP_SYN,ALERTA_DDOS,0.000000
1780957494.8673,2026-06-08 18:24:54,TCP_SYN,ALERTA_DDOS,0.000000
1780957495.8810,2026-06-08 18:24:55,TCP_SYN,ALERTA_DDOS,0.000000
1780957496.8931,2026-06-08 18:24:56,TCP_SYN,ALERTA_DDOS,0.000000
1780957497.9073,2026-06-08 18:24:57,TCP_SYN,ALERTA_DDOS,0.000000
1780957498.8709,2026-06-08 18:24:58,TCP_SYN,ALERTA_DDOS,0.000000
1781289697.2447,2026-06-12 14:41:37,NONE,ALERTA_DDOS,0.000000
1781289725.3403,2026-06-12 14:42:05,UDP_flood,ALERTA_DDOS,1.023047
1781289726.3539,2026-06-12 14:42:06,UDP_flood,ALERTA_DDOS,0.000000
1781289727.3149,2026-06-12 14:42:07,UDP_flood,ALERTA_DDOS,0.000000
1781289728.3257,2026-06-12 14:42:08,UDP_flood,ALERTA_DDOS,0.000000
1781289729.3381,2026-06-12 14:42:09,UDP_flood,ALERTA_DDOS,0.000000
1781289730.3170,2026-06-12 14:42:10,UDP_flood,ALERTA_DDOS,0.000000
1781289731.3283,2026-06-12 14:42:11,UDP_flood,ALERTA_DDOS,0.000000
1781289732.3405,2026-06-12 14:42:12,UDP_flood,ALERTA_DDOS,0.000000
1781289733.3549,2026-06-12 14:42:13,UDP_flood,ALERTA_DDOS,0.000000
1781289734.3680,2026-06-12 14:42:14,UDP_flood,ALERTA_DDOS,0.000000
1781289735.3293,2026-06-12 14:42:15,UDP_flood,ALERTA_DDOS,0.000000
1781289736.3424,2026-06-12 14:42:16,UDP_flood,ALERTA_DDOS,0.000000
