Timestamp,Estado,TipoAtaque,C1,C2,C3,FPGA_Alerta
1781289777.2950375,ATAQUE,UDP_flood,1062,99,1005,1
1781289778.2958498,ATAQUE,UDP_flood,1034,100,1001,1
1781289779.2960463,ATAQUE,UDP_flood,1022,100,999,1
1781289780.2960408,ATAQUE,UDP_flood,1114,100,1012,1
1781289781.2970393,ATAQUE,UDP_flood,1094,100,1009,1
1781289782.2976294,ATAQUE,UDP_flood,990,100,995,1
1781289783.2990015,ATAQUE,UDP_flood,1059,100,1004,1
1781289784.2990017,ATAQUE,UDP_flood,1080,100,1007,1
1781289785.2997022,ATAQUE,UDP_flood,1070,100,1006,1
1781289786.3001256,ATAQUE,UDP_flood,1083,100,1008,1
1781289787.300627,ATAQUE,UDP_flood,1147,100,1016,1
1781289788.3015265,ATAQUE,UDP_flood,1076,100,1007,1
1781289789.3015187,ATAQUE,UDP_flood,1106,100,1011,1
1781289790.3023798,ATAQUE,UDP_flood,1039,100,1002,1
1781289791.3028362,ATAQUE,UDP_flood,1126,100,1013,1
1781289792.3034177,ATAQUE,UDP_flood,1190,100,1021,1
1781289793.3040733,ATAQUE,UDP_flood,1176,100,1019,1
1781289794.3043418,ATAQUE,UDP_flood,1196,100,1022,1
1781289795.3045027,ATAQUE,UDP_flood,1202,100,1023,1
1781289796.304802,ATAQUE,UDP_flood,1219,100,1025,1
1781289797.3052704,ATAQUE,UDP_flood,1213,100,1024,1
1781289798.3057983,ATAQUE,UDP_flood,1212,100,1024,1
1781289799.306144,ATAQUE,UDP_flood,1209,100,1023,1
1781289800.3066957,ATAQUE,UDP_flood,1215,100,1024,1
1781289801.3072104,ATAQUE,UDP_flood,1205,100,1023,1
1781289802.3076148,ATAQUE,UDP_flood,1188,100,1021,1
1781289803.3076637,ATAQUE,UDP_flood,1211,100,1024,1
1781289804.3089454,ATAQUE,UDP_flood,1182,100,1020,1
1781289805.3085263,ATAQUE,UDP_flood,1207,100,1023,1
1781289806.3086123,ATAQUE,UDP_flood,1185,100,1021,1
1781289807.3086157,ATAQUE,UDP_flood,1206,100,1023,1
1781289808.3095152,ATAQUE,UDP_flood,1199,100,1022,1
1781289809.3096964,ATAQUE,UDP_flood,1197,100,1022,1
1781289810.3098674,ATAQUE,UDP_flood,1214,100,1024,1
1781289811.3099687,ATAQUE,UDP_flood,1213,100,1024,1
1781289812.3102674,ATAQUE,UDP_flood,1205,100,1023,1
1781289813.3104372,ATAQUE,UDP_flood,1197,100,1022,1
1781289814.3110528,ATAQUE,UDP_flood,1181,100,1020,1
1781289815.3114192,ATAQUE,UDP_flood,1193,100,1022,1
1781289816.3117237,ATAQUE,UDP_flood,1199,100,1022,1
1781289817.312308,ATAQUE,UDP_flood,1180,100,1020,1
1781289818.3121738,ATAQUE,UDP_flood,1203,100,1023,1
1781289819.312887,ATAQUE,UDP_flood,1205,100,1023,1
1781289820.3134944,ATAQUE,UDP_flood,1182,100,1020,1
1781289821.3142653,ATAQUE,UDP_flood,1189,99,1021,1
1781289822.3149662,ATAQUE,UDP_flood,1190,100,1021,1
1781289823.3149796,ATAQUE,UDP_flood,1185,100,1021,1
1781289824.3153856,ATAQUE,UDP_flood,1187,100,1021,1
1781289825.3164237,ATAQUE,UDP_flood,1196,100,1022,1
1781289826.316429,ATAQUE,UDP_flood,1201,100,1023,1
1781289827.3170233,ATAQUE,UDP_flood,1199,100,1022,1
1781289828.317517,ATAQUE,UDP_flood,1194,100,1022,1
1781289829.3178818,ATAQUE,UDP_flood,1189,100,1021,1
1781289830.318455,ATAQUE,UDP_flood,1193,100,1022,1
1781289831.319016,ATAQUE,UDP_flood,1195,100,1022,1
1781289832.3197289,ATAQUE,UDP_flood,1212,100,1024,1
1781289833.3198476,ATAQUE,UDP_flood,1191,100,1021,1
1781289834.319988,ATAQUE,UDP_flood,1187,100,1021,1
1781289835.320658,ATAQUE,UDP_flood,1186,100,1021,1
1781289836.3213766,ATAQUE,UDP_flood,1188,100,1021,1
1781289837.321441,ATAQUE,UDP_flood,1192,100,1021,1
1781290348.452747,NORMAL,NONE,63,3,99,1
1781290349.4848952,NORMAL,NONE,155,1,99,0
1781290350.51895,NORMAL,NONE,114,2,106,0
1781290351.5501604,NORMAL,NONE,136,1,99,0
1781290352.567535,NORMAL,NONE,130,1,99,0
1781290353.5681121,ATAQUE,UDP_flood,982,94,968,0
1781290354.5687656,ATAQUE,UDP_flood,1100,99,1010,1
1781290355.5685005,ATAQUE,UDP_flood,1067,100,1005,1
1781290356.5687501,ATAQUE,UDP_flood,1092,100,1009,1
1781290357.5687878,ATAQUE,UDP_flood,1154,100,1017,1
1781290358.5695875,ATAQUE,UDP_flood,1184,100,1020,1
1781290359.5701115,ATAQUE,UDP_flood,1208,100,1023,1
1781290360.570907,ATAQUE,UDP_flood,1181,100,1020,1
1781290361.571553,ATAQUE,UDP_flood,1179,100,1020,1
1781290362.5722022,ATAQUE,UDP_flood,1190,100,1021,1
1781290363.5729,ATAQUE,UDP_flood,1195,100,1022,1
1781290364.574079,ATAQUE,UDP_flood,1174,100,1019,1
1781290365.5748613,ATAQUE,UDP_flood,1159,100,1017,1
1781290366.5750127,ATAQUE,UDP_flood,1182,100,1020,1
1781290367.5751376,ATAQUE,UDP_flood,1186,99,1021,1
1781290368.575588,ATAQUE,UDP_flood,1173,100,1019,1
1781290369.5759585,ATAQUE,UDP_flood,1192,100,1021,1
1781290370.5765038,ATAQUE,UDP_flood,1187,100,1021,1
1781290371.5769556,ATAQUE,UDP_flood,1177,100,1020,1
1781290372.5769253,ATAQUE,UDP_flood,1185,100,1021,1
1781290373.5770767,ATAQUE,UDP_flood,1184,100,1020,1
1781290374.5778537,ATAQUE,UDP_flood,1186,100,1021,1
1781290375.577842,ATAQUE,UDP_flood,1200,100,1022,1
1781290376.5785186,ATAQUE,UDP_flood,1158,100,1017,1
1781290377.579061,ATAQUE,UDP_flood,1179,100,1020,1
1781290378.5793436,ATAQUE,UDP_flood,1190,100,1021,1
1781290379.5800025,ATAQUE,UDP_flood,1202,100,1023,1
1781290380.5808465,ATAQUE,UDP_flood,1186,100,1021,1
1781290381.5812168,ATAQUE,UDP_flood,1186,100,1021,1
1781290382.581337,ATAQUE,UDP_flood,1186,100,1021,1
1781290383.5815964,ATAQUE,UDP_flood,1175,100,1019,1
1781290384.582288,ATAQUE,UDP_flood,1188,100,1021,1
1781290385.5829213,ATAQUE,UDP_flood,1176,100,1019,1
1781290386.583413,ATAQUE,UDP_flood,1184,100,1020,1
