Timestamp,TP,FP,FN,Precision,FNR
1781290347.1969981,0,1,0,0.0000,0.0000
1781290353.6519506,1,1,0,0.5000,0.0000
1781290354.615243,2,1,0,0.6667,0.0000
1781290355.6281266,3,1,0,0.7500,0.0000
1781290356.6409485,4,1,0,0.8000,0.0000
1781290357.6525953,5,1,0,0.8333,0.0000
1781290358.6151195,6,1,0,0.8571,0.0000
1781290359.6261325,7,1,0,0.8750,0.0000
1781290360.6364713,8,1,0,0.8889,0.0000
1781290361.6473174,9,1,0,0.9000,0.0000
1781290362.6592612,10,1,0,0.9091,0.0000
1781290363.620567,11,1,0,0.9167,0.0000
1781290364.633144,12,1,0,0.9231,0.0000
1781290365.6450334,13,1,0,0.9286,0.0000
1781290366.6573532,14,1,0,0.9333,0.0000
1781290367.617841,15,1,0,0.9375,0.0000
1781290368.6285977,16,1,0,0.9412,0.0000
1781290369.6414695,17,1,0,0.9444,0.0000
1781290370.651793,18,1,0,0.9474,0.0000
1781290371.663946,19,1,0,0.9500,0.0000
1781290372.6260536,20,1,0,0.9524,0.0000
1781290373.6356418,21,1,0,0.9545,0.0000
1781290374.6483483,22,1,0,0.9565,0.0000
1781290375.6599548,23,1,0,0.9583,0.0000
1781290376.6732752,24,1,0,0.9600,0.0000
1781290377.6336706,25,1,0,0.9615,0.0000
1781290378.6463585,26,1,0,0.9630,0.0000
1781290379.6579146,27,1,0,0.9643,0.0000
1781291797.203049,0,1,0,0.0000,0.0000
1781291805.980356,0,2,0,0.0000,0.0000
1781291811.6318643,0,3,0,0.0000,0.0000
1781291820.8606768,0,4,0,0.0000,0.0000
1781292008.2097409,0,1,0,0.0000,0.0000
1781292016.173578,0,2,0,0.0000,0.0000
1781292315.836113,0,1,0,0.0000,0.0000
1781292343.9676023,1,1,0,0.5000,0.0000
1781292344.9799874,2,1,0,0.6667,0.0000
1781292345.9917417,3,1,0,0.7500,0.0000
1781292347.0029092,4,1,0,0.8000,0.0000
1781292347.9647026,5,1,0,0.8333,0.0000
1781292348.976405,6,1,0,0.8571,0.0000
1781292349.987288,7,1,0,0.8750,0.0000
1781292351.0013812,8,1,0,0.8889,0.0000
1781292351.9639692,9,1,0,0.9000,0.0000
1781292352.9773545,10,1,0,0.9091,0.0000
1781292353.989436,11,1,0,0.9167,0.0000
1781292355.0013669,12,1,0,0.9231,0.0000
1781292355.962758,13,1,0,0.9286,0.0000
1781292356.9751284,14,1,0,0.9333,0.0000
1781292357.9863596,15,1,0,0.9375,0.0000
1781292358.9983482,16,1,0,0.9412,0.0000
1781292360.0099194,17,1,0,0.9444,0.0000
1781292360.9706821,18,1,0,0.9474,0.0000
1781292361.9831214,19,1,0,0.9500,0.0000
1781292362.9947786,20,1,0,0.9524,0.0000
1781292364.0071208,21,1,0,0.9545,0.0000
1781292364.9684427,22,1,0,0.9565,0.0000
1781292365.9812229,23,1,0,0.9583,0.0000
1781292366.9923668,24,1,0,0.9600,0.0000
1781292367.9542212,25,1,0,0.9615,0.0000
1781292368.9666138,26,1,0,0.9630,0.0000
1781292369.9777913,27,1,0,0.9643,0.0000
1781292370.9886763,28,1,0,0.9655,0.0000
1781292372.0008736,29,1,0,0.9667,0.0000
1781292372.961913,30,1,0,0.9677,0.0000
1781292373.9740539,31,1,0,0.9688,0.0000
1781292374.984554,32,1,0,0.9697,0.0000
1781292375.9960682,33,1,0,0.9706,0.0000
1781292377.005787,34,1,0,0.9714,0.0000
1781292377.966607,35,1,0,0.9722,0.0000
1781292378.9780512,36,1,0,0.9730,0.0000
1781292379.9868283,37,1,0,0.9737,0.0000
1781292380.9989457,38,1,0,0.9744,0.0000
1781292382.0095446,39,1,0,0.9750,0.0000
1781292382.9708855,40,1,0,0.9756,0.0000
1781292383.983401,41,1,0,0.9762,0.0000
1781292384.9971352,42,1,0,0.9767,0.0000
1781292386.010419,43,1,0,0.9773,0.0000
1781292386.9712474,44,1,0,0.9778,0.0000
1781292387.9816906,45,1,0,0.9783,0.0000
1781292388.9941165,46,1,0,0.9787,0.0000
1781292390.0059636,47,1,0,0.9792,0.0000
1781292390.973686,48,1,0,0.9796,0.0000
1781292391.9850438,49,1,0,0.9800,0.0000
1781292392.9939961,50,1,0,0.9804,0.0000
1781292394.0053234,51,1,0,0.9808,0.0000
1781292395.016661,52,1,0,0.9811,0.0000
1781292395.9764833,53,1,0,0.9815,0.0000
1781292396.9884632,54,1,0,0.9818,0.0000
1781292397.9998932,55,1,0,0.9821,0.0000
1781292399.011263,56,1,0,0.9825,0.0000
1781292400.0219023,57,1,0,0.9828,0.0000
1781292400.9835622,58,1,0,0.9831,0.0000
1781292401.994747,59,1,0,0.9833,0.0000
1781292403.0063128,60,1,0,0.9836,0.0000
1781292404.0185673,61,1,0,0.9839,0.0000
1781292404.9831593,62,1,0,0.9841,0.0000
1781292405.9954147,63,1,0,0.9844,0.0000
1781292407.0072565,64,1,0,0.9846,0.0000
1781292407.9683883,65,1,0,0.9848,0.0000
1781292408.9808443,66,1,0,0.9851,0.0000
1781292409.9917092,67,1,0,0.9853,0.0000
1781292411.0020301,68,1,0,0.9855,0.0000
1781292412.0146408,69,1,0,0.9857,0.0000
1781292412.974916,70,1,0,0.9859,0.0000
1781292413.985753,71,1,0,0.9861,0.0000
1781292414.9961214,72,1,0,0.9863,0.0000
1781292416.0084498,73,1,0,0.9865,0.0000
1781292417.0198894,74,1,0,0.9867,0.0000
1781292418.0319743,75,1,0,0.9868,0.0000
1781292418.9954681,76,1,0,0.9870,0.0000
1781292420.0042858,77,1,0,0.9872,0.0000
1781292421.0152395,78,1,0,0.9873,0.0000
1781292422.0272055,79,1,0,0.9875,0.0000
1781292422.9895716,80,1,0,0.9877,0.0000
1781292423.9997604,81,1,0,0.9878,0.0000
1781292425.012652,82,1,0,0.9880,0.0000
1781292426.0253503,83,1,0,0.9881,0.0000
1781292426.9872808,84,1,0,0.9882,0.0000
1781292427.9979026,85,1,0,0.9884,0.0000
1781292429.009484,86,1,0,0.9885,0.0000
1781292430.021157,87,1,0,0.9886,0.0000
1781292430.9834409,88,1,0,0.9888,0.0000
1781292431.9950643,89,1,0,0.9889,0.0000
1781292433.009258,90,1,0,0.9890,0.0000
1781292434.0227327,91,1,0,0.9891,0.0000
1781292435.0345151,92,1,0,0.9892,0.0000
1781292435.995251,93,1,0,0.9894,0.0000
1781292437.006608,94,1,0,0.9895,0.0000
1781292438.0186288,95,1,0,0.9896,0.0000
1781292439.0313375,96,1,0,0.9897,0.0000
1781292439.9934337,97,1,0,0.9898,0.0000
1781292441.004139,98,1,0,0.9899,0.0000
1781292442.0155149,99,1,0,0.9900,0.0000
1781292443.0264127,100,1,0,0.9901,0.0000
1781292443.9897268,101,1,0,0.9902,0.0000
1781292445.0009604,102,1,0,0.9903,0.0000
